28,75,GARSIDE1800-1829,20100817,1800A075,"History of Rinaldo Rinaldini, The",Christian August VULPIUS,1800,goth,Male,John HINCKLEY,"THE HISTORY OF RINALDO RINALDINI, CAPTAIN OF BANDITTI. TRANSLATED FROM THE GERMAN OF VULPIUS. BY I. HINCKLEY, ESQ. IN THREE VOLUMES","London:                     Printed by A. Strahan, Printers-Street, for Longman and Rees, Paternoster-Row; and C. Geisweiler, Parliament-Street, 1800","3 vols (I viii, 269p; II 247p; III 200p). 12&deg;",ViU PZ2.V84H.1800; EN2 1800: 75; ESTC t219039; OCLC 7121022,"Trans. of <i>Rinaldo Rinaldini, der R&auml;uberhauptmann</i> (Leipzig, 1799). Half-titles, drop-head and running-titles all read: 'Rinaldo Rinaldini'. Preface, vol. 1, pp. [iii]&ndash;viii, incorporating 'The Author's Preface [&hellip;] written on St. Rosalia's day 1798'. 8 pp. (unn.) list of 'Books Printed for T. N. Longman and O. Rees' at end of vol. 3. ECB 494 lists Newman edn, 1831","Dublin 1801 (NSTC); 1801 (NSTC); 1831 as <i>Rinaldo Rinaldini, Captain of banditti</i> (NSTC); '4th edn' 1841 (NSTC, OCLC); Charleston, SC, 1814 (OCLC)",VULPIUS
390,1078,GARSIDE1800-1829,20100817,1813A062,Ferrandino,Christian August VULPIUS,1813,goth,Male,Henry George BOHN,FERRANDINO: BY THE AUTHOR OF RINALDO RINALDINI. A CONTINUATION OF THAT CELEBRATED ROMANCE. TRANSLATED FROM THE GERMAN. IN TWO VOLUMES,"London:                     Printed and published by W. Oxberry, and sold by all Booksellers, 1813","2 vols (I ii, 220p; II 180p). 12&deg;",ViU PZ2.V84F.1813; EN2 1813: 61; xNSTC; OCLC 7112124,"Trans. of <i>Ferrandino; Fortsetzung der Geschichte Rinaldinis</i> (Leipzig, 1799). ER and QR in their listings of New Publications for Feb 1813 and May 1813 respectively both state 'Translated from the German, by George Soane, A.B.'. DNB and Block, however,  attribute the translation to Henry George Bohn (1796&ndash;1884). ECB 204 lists Colburn edn, Apr 1813, price 10s 6d. Summers (p. 323) gives only a Colburn 1813 edn, 'by Henry G. Bohn', later adv. by Newman. It is possible that this represents a rival version, though no copy with this imprint has  been located",,VULPIUS
101,291,GARSIDE1800-1829,20100817,1803A074,Bellgrove Castle,Thomas Henry WHITE,1803,goth,Male,,"BELLGROVE CASTLE; OR, THE HORRID SPECTRE! A ROMANCE. IN FOUR VOLUMES. BY T. H. WHITE","London:                     Printed by J. Norris, No. 2, Old Round-Court, Strand, for T. H. White, Duke's-Court, St. Martin's-Lane, and W. Jee, No. 447, Strand, 1803","4 vols (I vi, 223p; II 209p; III 234p; IV 279p). 12&deg;",Corvey; CME 3-628-48904-0; ECB 635; EN2 1803: 74; NSTC W1686; xOCLC,"Dedication 'to the Ladies of Great Britain', signed Duke's Court, St Martin's Lane. Vol. 2 imprint differs by reading: 'London: Printed at the Minerva-Press, for Lane and Newman, Leadenhall-Street, 1803'. ECB gives publisher as Jee only",,WHITE
631,1673,GARSIDE1800-1829,20100817,1823A001,December Tales,William Harrison AINSWORTH,1823,potgoth,Male,,DECEMBER TALES,"London:                     Printed for G. and W. B. Whittaker, Ave-Maria Lane, 1823",1 vol.  (231p). 12&deg;,Corvey; CME 3-628-51012-0; ECB 156; EN2 1823: 18; NSTC 2A5871; OCLC 16385389,Dedication to Reverend George Croly,,AINSWORTH
564,1533,GARSIDE1800-1829,20100817,1821A018,"Recluse, The",Charles Vicomte d' ARLINCOURT,1821,potgoth,Male,,"THE RECLUSE; A TRANSLATION OF ""LE SOLITAIRE,"" BY M. LE VICOMTE D'ARLINCOURT. IN TWO VOLUMES","London:                     Henry Colburn and Co. Public Library, Conduit Street, Hanover Square, 1821","2 vols (I v, 218p; II 218p). 12&deg;",Corvey; CME 3-628-47456-6; ECB 152; EN2 1821: 21; NSTC 2A15600; OCLC 52976952,"Trans. of <i>Le Solitaire</i> (Paris, 1821). Preface likens aspects of the work to 'the historical character and dramatic style of the novels of the author of Waverley' (p. [iii]), while pointing also to its own extensive fame in France. 'Preface to the Fifth Edition of the Original' also in vol. 1, pp. [1]&ndash;3",New York 1822 (OCLC),ARLINCOURT
590,1605,GARSIDE1800-1829,20100817,1822A015,"Renegade, The",Charles Vicomte d' ARLINCOURT,1822,potgoth,Male,,"THE RENEGADE, TRANSLATED FROM THE FRENCH OF M. LE VICOMTE D'ARLINCOURT","London:                     J. Robins and Co. Ivy Lane, Paternoster Row, 1822","2 vols (I viii, 256p; II 272p). 8&deg;",BL 1152.i.17; ECB 152; EN2 1822: 16; NSTC 2A15599; xOCLC,"Trans. of <i>Le Ren«∂∏gat</i> (Paris, 1822). Preface begins: 'The interesting nature of this novel, and the eloquence of its descriptions, no less than its great popularity at this moment, are the reasons which have caused it to be presented to the public in an English dress. The avidity with which the first copies were bought up in Paris is almost unexampled. Four editions were published in immediate succession, and it still continues in the highest esteem' (vol. 1, p. [v])","1826 as <i>The Renegade, a romance</i> (OCLC 49484780); New York 1822 (NSTC) [also Philadelphia & New York 1822 (NSTC)]",ARLINCOURT
625,1686,GARSIDE1800-1829,20100817,1823A014,Ipsibo&#233;,Charles Vicomte d' ARLINCOURT,1823,potgoth,Male,,IPSIBO&#201;. TRANSLATED FROM THE FRENCH OF M. LE VICOMTE D'ARLINCOURT,"London:                     J. Robins and Co. Ivy Lane, Paternoster-Row, 1823","2 vols (I viii, 284p; II, 270p). 8&deg;",O 8<sup>o</sup>.W.304.B5; ECB 26; EN2 1823: 19; NSTC 2A15598; OCLC 35010614,"Trans. of <i>Ipsibo«∂∏</i> (Paris, 1823)",,ARLINCOURT
102,231,GARSIDE1800-1829,20100817,1803A014,Lorimon,Fran&#231;ois-Thomas-Marie de BACULARD D'ARNAUD,1803,potgoth,Male,,"LORIMON, OR MAN IN EVERY STAGE OF LIFE. A NOVEL. IN TWO VOLUMES. BY B. D'ARNAUD. TRANSLATED FROM THE FRENCH","London:                     Printed at the Minerva-Press, for Lane and Newman, Leadenhall-Street, 1803","2 vols (I xii, 206p; II 228p). 12&deg;",Corvey; CME 3-628-47422-1; ECB 353; EN2 1803: 14; xNSTC; xOCLC,"Trans. of <i>Lorimon, ou l'homme tel qu'il est</i> (Paris, n.d.). Preface by the Translator",,BACULARD D'ARNAUD
709,1870,GARSIDE1800-1829,20100817,1825A012,"Tales, by the O'Hara Family",John BANIM,1825,potgoth,Male,,"TALES, BY THE O'HARA FAMILY: CONTAINING CROHOORE OF THE BILL-HOOK. THE FETCHES, AND JOHN DOE. IN THREE VOLUMES","London:                     Printed for W. Simpkin and R. Marshall, Stationers'-Hall Court, Ludgate-Street, 1825",3 vols (I 367p; II 392p; III 404p). 12&deg;,Corvey; CME 3-628-47950-9; ECB 575; EN2 1825: 13; NSTC 2O2238; OCLC 4449161,[1st series],"2nd edn 1826 (NSTC); 3rd edn 1831 (OCLC); Philadelphia 1827 (NSTC); German trans.,  of 'John Doe' [as <i>Hauptmann Reh</i> (RS)] 1828 and 'Crohoore' [as <i>Der Zwerg, ein Irl&auml;ndisches Sittengem&auml;lde</i> (RS)] 1828; French trans., of 'Crohoore' [as <i>'Croohore na bilhoge, ou les White boys</i> (CCFR)] and 'John Doe' [as <i>John Doe, ou le chef des rebelles</i> (CCFR)] 1829",BANIM
766,1961,GARSIDE1800-1829,20100817,1826A012,"Boyne Water, The",John BANIM,1826,potgoth,Male,,"THE BOYNE WATER, A TALE, BY THE O'HARA FAMILY. AUTHORS OF TALES, COMPRISING CROHOORE OF THE BILL-HOOK, THE FETCHES, AND JOHN DOE. IN THREE VOLUMES","London:                     Printed for W. Simpkin and R. Marshall, Stationer's-Hall Court, Ludgate-Street, 1826","3 vols (I xxix, 375p; II 421p; III 436p). 12&deg;",Corvey; CME 3-628-47272-5; ECB 70; EN2 1826: 13; NSTC 2O2242; OCLC 19790801,"Introductory letter dated Inismore, 2 Feb 1826 and signed 'A. O'H.'","2nd edn 1826 (NSTC); New York 1826 (OCLC); French trans., 1829 [as <i>La Bataille de la Boyne, ou Jacques II en Irlande</i> (CCFR)]",BANIM
767,1962,GARSIDE1800-1829,20100817,1826A013,Tales by the O'Hara Family. Second Series,John BANIM,1826,potgoth,Male,,"TALES BY THE O'HARA FAMILY. SECOND SERIES. COMPRISING THE NOWLANS, AND PETER OF THE CASTLE. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1826",3 vols (I 318p; II 360p; III 381p). 12&deg;,Corvey; CME 3-628-47940-1; ECB 575; EN2 1826: 14; NSTC 2O2239; OCLC 17421425,,"New edn 1827 (NUC); 1834 as <i>The Nowlans, and Peter of the Castle</i> (OCLC); Philadelphia 1827 (OCLC); French trans., 1829 [separately as <i>L'Apostat, ou la famille Nowlan</i> (CCFR), and <i>Padhr«∂∏ na moulh, ou le mendiant des ruines</i> (CCFR)]; German trans., of 'Peter of the Castle' 1834; German trans., of 'The Nowlans' [as <i>Das Haus Nowlan, oder Hang und Geschick. Ein irl&auml;ndisches Familiengem&auml;lde</i>] 1835",BANIM
845,2120,GARSIDE1800-1829,20100817,1828A014,"Croppy, The",Michael BANIM,1828,potgoth,Male,,"THE CROPPY; A TALE OF 1798. BY THE AUTHORS OF ""THE O'HARA TALES,"" ""THE NOWLANS,"" AND ""THE BOYNE WATER."" IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1828",3 vols (I 314p; II 299p; III 318p). 12&deg;,Corvey; CME 3-628-47353-5; ECB 145; EN2 1828: 17; NSTC 2B6685; OCLC 6707061,"For evidence that Michael, as opposed to John, Banim was the author of this title, see <a href=""../guide/update4.html"">EN2 Update 4</a> and Publishing Papers (click on link below). Dedication 'to Sheffield Grace, Esq, F.S.A. &c.', signed 'The O'Hara Family'","1834 (NUC); Philadelphia 1839 (OCLC); French trans., 1833",BANIM
846,2121,GARSIDE1800-1829,20100817,1828A015,"Anglo-Irish of the Nineteenth Century, The",John BANIM,1828,potgoth,Male,,THE ANGLO-IRISH OF THE NINETEENTH CENTURY. A NOVEL. IN THREE VOLUMES,"London:                     Henry Colburn, New Burlington Street, 1828",3 vols (I 308p; II 305p; III 303p). 12&deg;,Corvey; CME 3-628-47060-9; ECB 19; EN2 1828: 16; NSTC 2B6659; OCLC 13302121,,"1838 (OCLC); French trans., 1829",BANIM
939,2714,GARSIDE1830-1836,20110421,1835:022,THE MAYOR OF WIND-GAP AND CANVASSING,"[BANIM, John and Michael; and MARTIN, Harriet Letitia]",1835,potgoth,Male,,THE MAYOR OF WIND-GAP AND CANVASSING. BY THE O'HARA FAMILY. IN THREE VOLUMES.,"London: Saunders and Otley, Conduit Street, 1835.",,,,"'new edn', revised, Dublin and London 1865 (NSTC, OCLC); 'The Mayor of Wind-gap' was published New York [also Philadelphia] 1835 (NSTC, OCLC); 'Canvassing' published Philadelphia 1835 (NSTC, OCLC); French trans., 1836 (of 'Canvassing' alone?), attributed to Banim, [as <i>Le candidat: Moeurs irlandaises</i> ].","BANIM, John and Michael; and MARTIN, Harriet Letitia]"
47,97,GARSIDE1800-1829,20100817,1801A015,"Beggar Boy, The",Thomas BELLAMY,1801,potgoth,Male,,"THE BEGGAR BOY: A NOVEL, IN THREE VOLUMES. BY THE LATE MR. THOMAS BELLAMY. TO WHICH ARE PREFIXED, BIOGRAPHICAL PARTICULARS OF THE AUTHOR, BY MRS. VILLA-REAL GOOCH","London:                     Printed for Earle and Hemet, No. 47, Albemarle-Street, Piccadilly, by Hare and Co. King-Street, Covent-Garden, 1801","3 vols (I xlvi, 182p, ill.; II 225p; III 230p). 12&deg;",Corvey; CME 3-628-47189-3; ECB 49; EN2 1801: 15; NSTC B1418; xOCLC,"Frontispiece portrait of 'Mr. Thomas Bellamy', carrying the legend 'Published as the Act directs, December 20th 1800, by Earle & Hemet Albemarle Street'. Preface signed by Elizabeth Sarah Villa-Real Gooch, Nov 1800","Alexandria, VA, 1802 (NSTC)",BELLAMY
770,1965,GARSIDE1800-1829,20100817,1826A016,"Mysterious Monk, The",C. A. BOLEN,1826,potgoth,Male,,"THE MYSTERIOUS MONK; OR, THE WIZARD'S TOWER. AN HISTORICAL ROMANCE. IN THREE VOLUMES. BY C. A. BOLEN","London:                     Printed for A. K. Newman and Co. Leadenhall-Street, 1826",3 vols (I 242p; II 234p; III 239p). 12&deg;,Corvey; CME 3-628-47265-2; ECB 64; EN2 1826: 17; NSTC 2B39615; OCLC 6653001,,,BOLEN
69,170,GARSIDE1800-1829,20100817,1802A014,Le Forester,Sir Samuel Egerton BRYDGES,1802,potgoth,Male,,"LE FORESTER, A NOVEL. BY THE AUTHOR OF ARTHUR FITZ-ALBINI. IN THREE VOLUMES","London:                     Printed for J. White, Fleet Street, by T. Bensley, Bolt Court, 1802","3 vols (I vii, 294p; II 250p; III 226p). 12&deg;",Corvey; CME 3-628-47799-9; ECB 336; EN2 1802: 16; NSTC L1048; OCLC 11651616,"The Author To His Book' (in verse), dated 6 Sept 1802",,BRYDGES
529,1461,GARSIDE1800-1829,20100817,1820A016,Tragic Tales,Sir Samuel Egerton BRYDGES,1820,potgoth,Male,,"TRAGIC TALES. CONINGSBY, AND LORD BROKENHURST. BY SIR EGERTON BRYDGES, BART","London:                     Printed for Robert Triphook, 23, Old Bond-Street, 1820",2 vols (I 186p; II 198p). 18&deg;,Corvey; CME 3-628-47143-5; EN2 1820: 18; NSTC 2B55206; OCLC 29139957,"Preface dated Geneva, 23 Aug 1819. <i>Coningsby, a Tragic Tale</i> was printed separately, with Paris, Geneva and London publishers on the t.p., in 1819. <i>Lord Brokenhurst, or Fragments of Winter Leaves, a Tragic Tale</i> was also published separately, with a Geneva imprint, 1819. In addition to these titles, Brydges published <i>Sir Ralph Willoughby: An Historical Tale of the Sixteenth Century</i> under a Florence imprint of 1820, but no London issue of this has been discovered (copies at BL, C, E, O, and MH, all have Florence only imprint)",,BRYDGES
565,1535,GARSIDE1800-1829,20100817,1821A020,"Hall of Hellingsley, The",Sir Samuel Egerton BRYDGES,1821,potgoth,Male,,"THE HALL OF HELLINGSLEY; A TALE. BY SIR S. E. BRYDGES, BART. &C. &C. &C. IN THREE VOLUMES","London:                     Printed for Longman, Hurst, Rees, Orme, and Brown, Paternoster-Row, 1821","3 vols (I vii, 209p; II viii, 245p; III viii, 293p). 12&deg;",Corvey; CME 3-628-47142-7; ECB 81; EN2 1821: 23; NSTC 2B55163; OCLC 13357210,,,BRYDGES
898,2215,GARSIDE1800-1829,20100817,1829A026,Father Butler,William CARLETON,1829,potgoth,Male,,FATHER BUTLER. THE LOUGH DEARG PILGRIM. BEING SKETCHES OF IRISH MANNERS,"Dublin:                     William Curry, jun. and Co., 9, Upper Sackville-Street, 1829","1 vol.  (iv, 302p, ill.). 12&deg;",BL 4413.f.40(3); ECB 201; EN2 1829: 25; NSTC 2C7486; OCLC 2079979,"Notice to the Reader', dated 20 Feb 1829, stating that the original was published in a magazine. The second story begins on p. 201",2nd edn 1839 (NSTC); Philadelphia 1834 (OCLC),CARLETON
927,2311,GARSIDE1830-1836,20110421,1830:039,THE WEIRD WOMAN OF THE WRAAGH,"COATES, Mr [H",1830,potgoth,Male,,"THE WEIRD WOMAN OF THE WRAAGH; OR, BURTON AND LE MOORE. AN HISTORICAL TALE. BY MR. COATES. IN FOUR VOLUMES.","London: Printed for A. K. Newman and Co., 1830.",,,,,"COATES, Mr [H"
566,1540,GARSIDE1800-1829,20100817,1821A025,Precaution,James Fenimore COOPER,1821,potgoth,Male,,"PRECAUTION, A NOVEL. IN THREE VOLUMES","London:                     Henry Colburn and Co. Public Library, Conduit Street, Hanover Square, 1821",3 vols (I 307p; II 301p; III 315p). 12&deg;,Corvey; CME 3-628-47332-2; ECB 467; EN2 1821: 28; NSTC 2C36867; OCLC 11743483,Originally published New York 1820 (Blanck),"1838 (OCLC); 1850 (OCLC); French trans., 1825; German trans., 1825 [as <i>Mosely-Hall, oder die Wahl des Gatten</i> (RS)]",COOPER
591,1613,GARSIDE1800-1829,20100817,1822A023,"Spy, The",James Fenimore COOPER,1822,potgoth,Male,,THE SPY; A TALE OF THE NEUTRAL GROUND; REFERRING TO SOME PARTICULAR OCCURRENCES DURING THE AMERICAN WAR: ALSO POURTRAYING AMERICAN SCENERY AND MANNERS. IN THREE VOLUMES,"London:                     G. and W. B. Whittaker, Ave-Maria-Lane, 1822","3 vols (I x, 318p; II 314p; III 312p). 12&deg;",Corvey; ECB 135; EN2 1822: 24; NSTC 2C36880; OCLC 1425536,"Originally published New York 1821 (Blanck). OCLC also lists three other London issues, apparently with an 1822 provenance","1823 (Blanck); 1831 (Blanck); 1849 (Blanck); French trans., 1822; German trans., 1824",COOPER
626,1696,GARSIDE1800-1829,20100817,1823A024,"Pioneers, The",James Fenimore COOPER,1823,potgoth,Male,,"THE PIONEERS, OR THE SOURCES OF THE SUSQUEHANNA; A DESCRIPTIVE TALE. BY THE AUTHOR OF ""THE SPY."" IN THREE VOLUMES","London:                     John Murray, Albemarle-Street, 1823","3 vols (I viii, 268p; II 274p; III 364p). 12&deg;",BL N.175; ECB 452; EN2 1823: 28; NSTC 2C36864; OCLC 4301035,"Preface 'to Mr. Charles Wiley, Bookseller', signed 'the Author, New-York, January 1st, 1823'. Originally published New York 1823 (Blanck)","1827 (NSTC); 1832 (NSTC); 1832 (OCLC); 1844 (NSTC); 1847 (OCLC); [at least 2 more edns to 1850]; French trans., 1823; German trans., 1824 [as <i>Die Ansiedler</i> (RS)]",COOPER
669,1785,GARSIDE1800-1829,20100817,1824A026,"Pilot, The",James Fenimore COOPER,1824,potgoth,Male,,"THE PILOT; A TALE OF THE SEA. BY THE AUTHOR OF ""THE SPY,"" ""PIONEERS,"" &C. &C. &C. IN THREE VOLUMES","London:                     John Miller, 5, New Bridge Street, Blackfriars, 1824","3 vols (I viii, 268p; II 342p; III 303p). 12&deg;",Corvey; ECB 134; EN2 1824: 26; NSTC 2C36860; OCLC 3785677,"Originally published New York 1823 (Blanck, NSTC)","1826 (OCLC); 1829 (OCLC); 3rd edn 1831 (NSTC);  London & Liverpool 1831 (Blanck); 1835 (NSTC); [at least 3 more edns to 1850]; French trans., 1824; German trans., 1824 [as <i>Der Lootse, oder Abentheuer an Englands K&uuml;ste. Ein Seegem&auml;lde</i> (RS)]",COOPER
707,1876,GARSIDE1800-1829,20100817,1825A018,Lionel Lincoln,James Fenimore COOPER,1825,potgoth,Male,,"LIONEL LINCOLN; OR, THE LEAGUER OF BOSTON. BY THE AUTHOR OF THE ""SPY,"" ""PIONEERS,"" ""PILOT,"" &C. &C. &C. IN THREE VOLUMES","London:                     John Miller, 5, New Bridge Street, Blackfriars, 1825",3 vols (I 319p; II 300p; III 275p). 12&deg;,Corvey; ECB 134; EN2 1825: 20; NSTC 2C36836; OCLC 1442562,"Originally published New York 1824&ndash;25 (OCLC). OCLC 43180886 describes another London 1825 edn, with the imprint of Orlando Hodgson","1832 (NSTC); 1835 (OCLC); 1837 (OCLC); 1839 (OCLC); French trans., 1825; German trans., 1825",COOPER
803,2051,GARSIDE1800-1829,20100817,1827A025,"Prairie, The",James Fenimore COOPER,1827,potgoth,Male,,"THE PRAIRIE, A TALE, BY THE AUTHOR OF THE SPY, THE PILOT, &C. &C. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1827","3 vols (I viii, 339p; II 370p; III 366p). 12&deg;",Corvey; CME 3-628-47331-4; ECB 135; EN2 1827: 24; NSTC 2C36866; OCLC 4904065,"This was set from advance sheets of the Paris (1827) edn, and preceded the first American edn (Blanck)","1832 (NSTC); 1834 (NSTC); 1836 (NSTC); 1839 (OCLC); Liverpool 1839 (NSTC); [at least 3 more edns to 1850]; Philadelphia 1827 (NSTC); French trans., 1827; German trans., 1827",COOPER
804,2052,GARSIDE1800-1829,20100817,1827A026,"Red Rover, The",James Fenimore COOPER,1827,potgoth,Male,,"THE RED ROVER, A TALE. BY THE AUTHOR OF ""THE SPY,"" ""THE PILOT,"" ""THE PRAIRIE,"" &C. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1827","3 vols (I ix, 336p; II 309p; III 341p). 12&deg;",BL 1608/4013; ECB 135; EN2 1827: 25; NSTC 2C36871; OCLC 1544836,"Dedication to W. B. Shubrick, Esquire, U.S. Navy. First published in Paris (Hector Bossange) and in London (see Blanck, vol. 2 (1957), pp. 279&ndash;80, who indicates that Paris edn was marginally earlier). Corvey copy is identical to the BL copy listed above, apart from its 1828 imprint","1828 (Corvey, NSTC); 1834 (NSTC); 1836 (NSTC); 1839 (OCLC); Liverpool 1839 (NSTC); [at least 3 more edns to 1850]; Philadelphia 1827&ndash;28 (OCLC); German trans., 1828; French trans., 1830",COOPER
886,2218,GARSIDE1800-1829,20100817,1829A029,"Borderers, The",James Fenimore COOPER,1829,potgoth,Male,,"THE BORDERERS: A TALE. BY THE AUTHOR OF ""THE SPY,"" ""THE RED ROVER,"" ""THE PRAIRIE,"" &C. &C. &C","London:                     Henry Colburn and Richard Bentley, New Burlington-Street, 1829","3 vols (I xiv, 299p; II 311p; III 316p). 12&deg;",Corvey; CME 3-628-47328-4; ECB 134; EN2 1829: 27; NSTC 2C36778; OCLC 1471767,This edn narrowly preceded the first American issue (Blanck),"2nd edn 1830 (OCLC); 1833 (NSTC); 1836 (OCLC); 1849 (NSTC); Philadelphia 1829 as <i>The Wept of Wish Ton-Wish</i> (Blanck, NSTC); German trans., 1829 [as <i>Conanchet und die Puritaner in Connecticut</i> (RS) and as <i>Die Grenzbewohner, oder die Beweinte von Wish-Ton-Wish</i> (RS)]",COOPER
298,718,GARSIDE1800-1829,20100817,1809A019,John de Lancaster,Richard CUMBERLAND,1809,potgoth,Male,,"JOHN DE LANCASTER. A NOVEL. BY RICHARD CUMBERLAND, ESQ. IN THREE VOLUMES","London:                     Printed for Lackington, Allen, and Co. Temple of the Muses, Finsbury Square, 1809",3 vols (I 300p; II 292p; III 292p). 8&deg;,BRu ENC; ECB 147; EN2 1809: 20; NSTC C4483; OCLC 19027172,,"2nd edn 1809 (Corvey), CME 3-628-47361-6; New York 1809 (OCLC)",CUMBERLAND
716,1889,GARSIDE1800-1829,20100817,1825A031,Ned Clinton,Francis GLASSE,1825,potgoth,Male,,"NED CLINTON; OR, THE COMMISSARY: COMPRISING ADVENTURES, AND EVENTS DURING THE PENINSULAR WAR: WITH CURIOUS AND ORIGINAL ANECDOTES OF MILITARY, AND OTHER REMARKABLE CHARACTERS. IN THREE VOLUMES","London:                     Printed for William Marsh, 145, Oxford Street, 1825","3 vols (I viii, 287p; II ix, 271p; III viii, 270p). 12&deg;",Corvey; CME 3-628-48188-0; ECB 409; EN2 1825: 32; NSTC 2G10123; OCLC 45402181,,2nd edn 1832 (NSTC); 1839 (NSTC),GLASSE
170,403,GARSIDE1800-1829,20100817,1805A032,Fleetwood,William GODWIN,1805,potgoth,Male,,"FLEETWOOD: OR, THE NEW MAN OF FEELING. BY WILLIAM GODWIN. IN THREE VOLUMES","London:                     Printed for Richard Phillips, No. 6, Bridge-Street, Blackfriars, 1805","3 vols (I xii, 300p; II 295p; III 342p). 12&deg;",Corvey; CME 3-628-47850-2; ECB 234; EN2 1805: 33; NSTC G1251; OCLC 1922601,"Preface dated 14 Feb 1805. BRu ENC copy has 'Georgina Craven Feb. 22 1805' written on front of each vol., matching ECB dating of Feb 1805","1832 (NSTC); Alexandria, VA, 1805 (OCLC) [also New York 1805 (NSTC)]; French trans., 1805; German trans., 1806",GODWIN
681,1803,GARSIDE1800-1829,20100817,1824A044,Woodland Family,William Child GREEN,1824,potgoth,Male,,"THE WOODLAND FAMILY; OR, THE SONS OF ERROR, AND DAUGHTERS OF SIMPLICITY. A DOMESTIC TALE, BY WILLIAM CHILD GREEN, ESQ","London:                     Joseph Emans, No. 91 Waterloo Road, 1824","1 vol.  (iii, 557p, ill.). 8&deg;","Kent State University, OH [not seen]; EN2 1824: 44; xNSTC; OCLC 663761",,"1826 (MH 18488.8.10; NSTC 2G20225). This Harvard copy has the imprint of 'J. M'Gowan and Son Great Windmill Street, Haymarket'",GREEN
805,2060,GARSIDE1800-1829,20100817,1827A034,Holland-Tide,Gerald Joseph GRIFFIN,1827,potgoth,Male,,"""HOLLAND-TIDE;"" OR, MUNSTER POPULAR TALES","London:                     Printed for W. Simpkin and R. Marshall, Stationers' Hall Court, Ludgate-Street, 1827",1 vol.  (378p). 12&deg;,Corvey; CME 3-628-51038-4; ECB 277; EN2 1827: 34; NSTC 2G22647; OCLC 4853799,,2nd edn 1827 (NSTC); 1842 (OCLC),GRIFFIN
806,2061,GARSIDE1800-1829,20100817,1827A035,Tales of the Munster Festivals,Gerald Joseph GRIFFIN,1827,potgoth,Male,,"TALES OF THE MUNSTER FESTIVALS CONTAINING, CARD DRAWING; THE HALF SIR; AND SUIL DHUV, THE COINER. BY THE AUTHOR OF ""HOLLAND-TIDE, OR IRISH POPULAR TALES."" IN THREE VOLUMES","London:                     Saunders and Otley, Conduit Street, 1827","3 vols (I xxiii, 355p; II 326p; III 316p). 12&deg;",Corvey; CME 3-628-48867-2; ECB 576; EN2 1827: 35; NSTC 2G22655; OCLC 7062906,,"2nd edn 1829 (NSTC); 1830 (OCLC); 1848 (NSTC); German trans., 1829 [as <i>Suil Dhuv, der Falschm&uuml;nzer und die Kartenschl&auml;gerin</i> (RS)]",GRIFFIN
887,2232,GARSIDE1800-1829,20100817,1829A043,"Collegians, The",Gerald Joseph GRIFFIN,1829,potgoth,Male,,THE COLLEGIANS. IN THREE VOLUMES,"London:                     Saunders and Otley, Conduit Street, 1829",3 vols (I 330p; II 349p; III 322p). 12&deg;,Corvey; CME 3-628-47304-7; ECB 125; EN2 1829: 41; NSTC 2G22641; OCLC 4045029,Half-titles read 'A Second Series of Tales of the Munster Festivals.',2nd edn 1829 (NSTC); 1847 (NSTC); 1848 (OCLC); New York 1829 (NSTC),GRIFFIN
888,2233,GARSIDE1800-1829,20100817,1829A044,"Rivals, The",Gerald Joseph GRIFFIN,1829,potgoth,Male,,"THE RIVALS. TRACY'S AMBITION. BY THE AUTHOR OF ""THE COLLEGIANS."" IN THREE VOLUMES","London:                     Saunders and Otley, Conduit Street, 1829","3 vols (I xxx, 306p; II 321p; III 302p). 12&deg;",Corvey; CME 3-628-48613-0; ECB 246; EN2 1829: 42; NSTC 2G22651; xOCLC,Half-titles read: 'Third Series of Tales of the Munster Festivals.',"1830 (OCLC 1990287); 1842 (NSTC); New York 1830 (NSTC). Sadleir (Item 1071) notes of the unavowed 2nd edn, 1830, that internally the only difference from the 1st edn is the date on the titles",GRIFFIN
29,47,GARSIDE1800-1829,20100817,1800A047,Mystery,Francis LATHOM,1800,potgoth,Male,,"MYSTERY, A NOVEL: IN TWO VOLUMES. BY FRANCIS LATHOM, AUTHOR OF MEN AND MANNERS, OF WHICH A NEW EDITION IS JUST PUBLISHED; THE MIDNIGHT BELL; THE CASTLE OF OLLADA, &C","London:                     Printed for H. D. Symonds, Paternoster-Row, by T. Davison, Lombard-Street, White-Friars, 1800","2 vols (I viii, 292p; II 268p). 12&deg;",Corvey; CME 3-628-47961-4; EN2 1800: 49; ESTC t231339; OCLC 6875634,,Dublin 1800 (ESTC),LATHOM
